Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,disease,Group,condition
SRR14631792,miRNA-Seq,75,935909700,PRJNA713778,SAMN19317391,332514583,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971607,GSM5333351,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:23:00Z,1,GSM5333351,Blood plasma,SRP310247,,,Healthy control
SRR14631793,miRNA-Seq,75,549863850,PRJNA713778,SAMN19317390,195931925,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971608,GSM5333352,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333352,Blood plasma,SRP310247,,,Healthy control
SRR14631794,miRNA-Seq,75,959490150,PRJNA713778,SAMN19317389,380243991,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971609,GSM5333353,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:24:00Z,1,GSM5333353,Blood plasma,SRP310247,,,Healthy control
SRR14631798,miRNA-Seq,75,206066175,PRJNA713778,SAMN19317410,69995097,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971613,GSM5333357,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333357,Blood plasma,SRP310247,,,Healthy control
SRR14631799,miRNA-Seq,75,140903775,PRJNA713778,SAMN19317409,48340504,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971614,GSM5333358,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333358,Blood plasma,SRP310247,,,Healthy control
SRR14631803,miRNA-Seq,75,221495250,PRJNA713778,SAMN19317405,83710227,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971618,GSM5333362,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:21:00Z,1,GSM5333362,Blood plasma,SRP310247,,,Healthy control
SRR14631804,miRNA-Seq,75,390972600,PRJNA713778,SAMN19317404,150326476,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971656,GSM5333363,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:22:00Z,1,GSM5333363,Blood plasma,SRP310247,,,Healthy control
SRR14631805,miRNA-Seq,75,592038000,PRJNA713778,SAMN19317403,226722374,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971657,GSM5333364,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:23:00Z,1,GSM5333364,Blood plasma,SRP310247,,,Healthy control
SRR14631807,miRNA-Seq,75,618109350,PRJNA713778,SAMN19317422,237759923,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971659,GSM5333366,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:23:00Z,1,GSM5333366,Blood plasma,SRP310247,,,Healthy control
SRR14631808,miRNA-Seq,75,558896250,PRJNA713778,SAMN19317415,206966505,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971660,GSM5333367,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:23:00Z,1,GSM5333367,Blood plasma,SRP310247,,,Healthy control
SRR14631809,miRNA-Seq,75,286158900,PRJNA713778,SAMN19317414,107033773,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971661,GSM5333368,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:22:00Z,1,GSM5333368,Blood plasma,SRP310247,,,Healthy control
SRR14631810,miRNA-Seq,75,451894275,PRJNA713778,SAMN19317421,171959314,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971662,GSM5333369,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:22:00Z,1,GSM5333369,Blood plasma,SRP310247,,,Healthy control
SRR14631811,miRNA-Seq,75,942219300,PRJNA713778,SAMN19317420,350952672,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX10971663,GSM5333370,NextSeq 550,SINGLE,size fractionation,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-06-07T00:00:00Z,2021-05-24T13:25:00Z,1,GSM5333370,Blood plasma,SRP310247,,,Healthy control
